monthly_income,spending_behaviour,monthly_expenses,savings_goal,savings_monthly,total_savings_installment
27970574.33,wasteful,24305268.91,17969923.9,5594114.866,3
25341000.18,wasteful,24881431.81,6098289.25,5068200.036,1
11122799.22,moderate,6177215.344,38780432.31,2224559.844,17
23551355.09,moderate,13833315.67,10346109.22,4710271.018,2
5048454.14,frugal,1571140.405,12887228.24,1009690.828,13
7666003.51,wasteful,7170872.139,26645127.63,1533200.702,17
18061627.11,wasteful,16742579.17,5150234.7,3612325.422,1
16031378.27,wasteful,13831774.6,24268384.68,3206275.654,8
25539755.63,moderate,13776008.32,17941003.12,5107951.126,4
19917434.6,moderate,10728602.15,20889993.09,3983486.92,5
18154807.62,wasteful,17090651.97,32674671.31,3630961.524,9
18435264.6,frugal,6946586.159,29313166.26,3687052.92,8
16848594.51,moderate,11337501.7,15604574.29,3369718.902,5
12874788.31,moderate,8432840.458,22849521.11,2574957.662,9
3190865.99,wasteful,2706731.405,9039037.1,638173.198,14
20571435.33,frugal,7693991.362,28397229.82,4114287.066,7
1442135.27,wasteful,1280065.124,14374698.04,288427.054,50
21463620.9,moderate,13492915.34,16780657.55,4292724.18,4
8633314.2,wasteful,7846349.164,34054949.43,1726662.84,20
18668118.89,frugal,6448509.25,33961323.68,3733623.778,9
12921634.04,moderate,7150206.208,31856704.03,2584326.808,12
24111541.72,moderate,15924863.71,4922777.41,4822308.344,1
25928754.58,wasteful,22450920.85,29594018.61,5185750.916,6
6048727.23,wasteful,5239722.494,34171940.19,1209745.446,28
14984480.1,moderate,9099158.498,8323616.83,2996896.02,3
10764383.29,frugal,4043796.525,11604823.5,2152876.658,5
1665505.95,moderate,1139389.871,37344299.24,333101.19,112
5687245.79,wasteful,5604380.482,17724753.99,1137449.158,16
21485529.98,moderate,11631144.11,8242468.59,4297105.996,2
8618121.5,wasteful,8499795.81,17370178.64,1723624.3,10
26525420.7,wasteful,23395182.08,22570173.53,5305084.14,4
3677804.11,wasteful,3564611.597,12649948.07,735560.822,17
12947894.45,wasteful,11059839.6,27316184.6,2589578.89,11
23400492.09,wasteful,20014414.01,19575024.34,4680098.418,4
26936975.38,wasteful,24544786.61,19087824.12,5387395.076,4
13374030.33,wasteful,12563328.19,26562178.44,2674806.066,10
17886919.89,wasteful,16197834.27,13814504.83,3577383.978,4
24467847.77,moderate,16933545.77,27174939.97,4893569.554,6
8756063.49,wasteful,8477862.476,26802412.51,1751212.698,15
26796103.14,moderate,18171086,12164498.78,5359220.628,2
19210048.2,moderate,12808026.36,7948660.06,3842009.64,2
6286518.95,moderate,3627563.865,27875673.36,1257303.79,22
10179434.89,moderate,5475041.468,5096546.89,2035886.978,3
10579554.2,moderate,6366507.501,34111455.83,2115910.84,16
5076663.11,moderate,3164455.498,24672314.97,1015332.622,24
17873302.21,wasteful,15195247.96,33750664.99,3574660.442,9
10648728.62,moderate,7264101.673,27900254.37,2129745.724,13
20304712.63,moderate,12344302.14,13754709.1,4060942.526,3
2495794.36,wasteful,2437303.124,29138069.73,499158.872,58
3809522.5,moderate,2591796.829,16250646.93,761904.5,21
20546430.91,moderate,13086232.47,39320752.6,4109286.182,10
15935081.83,moderate,9342384.393,30386143.06,3187016.366,10
9202511.49,frugal,3089467.178,27407704.5,1840502.298,15
26397407.79,moderate,17532188.53,34401416.78,5279481.558,7
18416876.17,moderate,10944314.65,21693834.28,3683375.234,6
9359214.93,wasteful,7894264.634,4385565.69,1871842.986,2
17798895.54,moderate,11496234.74,11105990.28,3559779.108,3
22468487.09,moderate,15076277.52,4455419.75,4493697.418,1
20275194.93,wasteful,16927086.16,6015071.85,4055038.986,1
21593281.94,frugal,7255788.339,3425871.83,4318656.388,1
23596547.59,frugal,7322563.226,33445912.12,4719309.518,7
22612211.75,moderate,11991253.91,4619733.13,4522442.35,1
20598112.34,frugal,7685748.722,38794281.98,4119622.468,9
13425253.86,moderate,7078034.563,34073609.74,2685050.772,13
20802555.64,frugal,6419754.379,23233299.28,4160511.128,6
14429387.21,frugal,4355329.961,21609245.7,2885877.442,7
18274464.4,frugal,7234167.652,39288489.85,3654892.88,11
7176600.48,frugal,2302105.711,23189957.16,1435320.096,16
8555268.28,frugal,2679935.29,37964593.99,1711053.656,22
21992738.55,frugal,8414768.5,23717091.17,4398547.71,5
20126047.5,moderate,11495252.2,26981204.18,4025209.5,7
25630105.61,wasteful,23612630.62,37543609.19,5126021.122,7
11599428.39,moderate,7798936.878,21342403.2,2319885.678,9
26320009.56,wasteful,22867227.45,7016534.14,5264001.912,1
25558497.15,moderate,15201060.61,10144069.3,5111699.43,2
15765382.29,wasteful,13656022.35,4573183.64,3153076.458,1
8437251.13,moderate,5096596.786,6547804.83,1687450.226,4
26196327.66,moderate,16065658.06,19712209.67,5239265.532,4
22918699.4,wasteful,21346431.92,17110105.82,4583739.88,4
27009580.05,frugal,8525028.204,33397280.64,5401916.01,6
5964870.15,moderate,3151874.833,11657416.51,1192974.03,10
1693016.89,moderate,1070203.235,36461595.56,338603.378,108
6569124.94,moderate,3915210.028,5545884.39,1313824.988,4
23813120.36,frugal,7423879.408,9369758.89,4762624.072,2
10433482.18,wasteful,8471113.912,38997779.81,2086696.436,19
20095581.25,frugal,6779220.411,35217739.72,4019116.25,9
26390941.02,moderate,16921424.16,33797442.1,5278188.204,6
16907797.46,moderate,10464601.33,24614685.74,3381559.492,7
5325658.97,wasteful,4731060.801,4075515.01,1065131.794,4
21364755.18,wasteful,20491956.55,26270863.87,4272951.036,6
16310276.16,frugal,5377890.049,33475693.89,3262055.232,10
19368640.58,moderate,13104396.55,9774464.72,3873728.116,3
20027878.03,wasteful,16168842.68,34513777.6,4005575.606,9
16059861.99,moderate,9903803.166,39188319.39,3211972.398,12
19572788.7,moderate,13602324.65,9584214.82,3914557.74,2
24454614.36,moderate,13917530.93,4860125.83,4890922.872,1
3777003.9,moderate,2181964.665,24978155.33,755400.78,33
14323008.66,frugal,5635712.59,30067559.64,2864601.732,10
14889939.59,moderate,7753462.869,26674183.6,2977987.918,9
16337287.63,wasteful,13631470.39,13516518.35,3267457.526,4
8294855.44,wasteful,6725026.623,34240422.27,1658971.088,21
17369296.91,frugal,6754580.913,5641453.12,3473859.382,2
25494165.6,wasteful,20852145.68,35786336.82,5098833.12,7
14082366.53,frugal,4494183.421,26988975.52,2816473.306,10
17238447.34,wasteful,16940962.61,16816648.8,3447689.468,5
10077987.67,wasteful,9693646.212,33935731.99,2015597.534,17
23830312.84,frugal,9343011.854,13424952.14,4766062.568,3
25986689.27,moderate,13229598.7,34516409.28,5197337.854,7
24142783.28,frugal,8122540.948,25824826.64,4828556.656,5
20363853.39,moderate,13864278.58,38796070.64,4072770.678,10
6261004.45,moderate,4160550.683,12189290.94,1252200.89,10
27241068.99,wasteful,22764258.59,15939361.83,5448213.798,3
1044956.59,frugal,388937.6992,25643056.9,208991.318,123
9343976.53,wasteful,7564533.292,32344964.75,1868795.306,17
18026020.6,moderate,12592015.56,36317432.31,3605204.12,10
27509440.25,moderate,18304069.35,37541266.04,5501888.05,7
14502165.59,moderate,9812210.312,4309232.07,2900433.118,1
20467090.42,moderate,13926816.31,29851008.32,4093418.084,7
6279738.8,wasteful,6274821.123,23752607.23,1255947.76,19
20067759.96,wasteful,16580799.58,37455787.52,4013551.992,9
18196346.76,moderate,10877175.84,22579844.63,3639269.352,6
20634593.66,moderate,14381320.69,20360570.71,4126918.732,5
10749551.99,frugal,3675618.878,8807323.28,2149910.398,4
27325129.06,wasteful,24148651.09,37136930.4,5465025.812,7
24221268.59,frugal,7629762.634,15360545.68,4844253.718,3
9662794.41,wasteful,9406116.396,8191486.85,1932558.882,4
25697210.21,frugal,9146257.97,22088716.88,5139442.042,4
6033926,wasteful,5253887.029,4236203.99,1206785.2,4
20567622.05,moderate,13753711.06,15225093.78,4113524.41,4
21892292.8,frugal,7772601.865,14400377.14,4378458.56,3
13984062.02,wasteful,13261080.76,25760821.49,2796812.404,9
3425733.71,wasteful,2987785.824,33192482.79,685146.742,48
11860265.54,frugal,3819577.331,4049629.06,2372053.108,2
24562712.1,frugal,9095366.065,24493957.04,4912542.42,5
12100709.61,moderate,7093688.84,33457975.4,2420141.922,14
18485196.49,wasteful,17419995.79,3694928.9,3697039.298,1
10440413.68,moderate,6051395.962,35143054.01,2088082.736,17
8972705.87,wasteful,8179120.519,36774343,1794541.174,20
16882175.69,frugal,6640823.537,31037706.12,3376435.138,9
10550421.31,wasteful,10292688.21,29929368.15,2110084.262,14
10515714.41,wasteful,8443155.63,38869528.41,2103142.882,18
25141940.55,moderate,14252479.25,17039613.9,5028388.11,3
9363086.32,wasteful,8297416.418,36753013.71,1872617.264,20
15628719.7,frugal,5063708.55,23998851.16,3125743.94,8
6215626.93,wasteful,5296069.771,19742492.16,1243125.386,16
9045201.47,frugal,3102490.844,30473808.44,1809040.294,17
5080544.16,wasteful,4351602.791,6342997.48,1016108.832,6
20575119.02,frugal,7820410.697,6239937.72,4115023.804,2
21399284.95,frugal,7223273.171,15800922.33,4279856.99,4
8752720.77,wasteful,8553287.949,4107095.6,1750544.154,2
3039294.83,wasteful,3035253.9,22007232.6,607858.966,36
22296210.57,frugal,7872811.888,12262769.21,4459242.114,3
18096176.43,wasteful,17958678.97,24418112.8,3619235.286,7
14012335.3,moderate,8053507.855,19579293.08,2802467.06,7
14539763.4,frugal,5123191.285,25622550.16,2907952.68,9
4374398.59,frugal,1381264.784,8204615.54,874879.718,9
20245832.42,wasteful,20186888.36,20571062.95,4049166.484,5
4588936.55,moderate,2809128.733,19246798.97,917787.31,21
1999468.87,frugal,658954.1836,18117561.24,399893.774,45
20983037.93,frugal,7406215.432,16700091.47,4196607.586,4
17252390.76,wasteful,14744667.57,22959908.84,3450478.152,7
9896163.86,wasteful,9191326.645,29450479.04,1979232.772,15
12992111.76,frugal,5027401.823,14341907.9,2598422.352,6
13941129.51,moderate,8889919.732,10757111.65,2788225.902,4
14802692.15,wasteful,12805249.14,22155383.8,2960538.43,7
25613752.78,frugal,8424847.269,8720149.31,5122750.556,2
18779019.8,wasteful,16750276.61,18510204.29,3755803.96,5
19429655.87,wasteful,16850603.22,35224835.51,3885931.174,9
5943510.42,frugal,1884663.661,18423217.72,1188702.084,15
20785628.46,frugal,7932168.408,29042271.29,4157125.692,7
13405146.66,moderate,7389351.544,34534884.38,2681029.332,13
4435693.5,frugal,1575093.684,13484264.77,887138.7,15
22171908.97,moderate,13564028.33,4950621.19,4434381.794,1
12400592.87,frugal,3977749.981,32522753.2,2480118.574,13
8673411.57,frugal,2709818.072,16668618.22,1734682.314,10
27322037.91,moderate,18221949.52,9352703.31,5464407.582,2
4152445.82,frugal,1495877.825,7207052.21,830489.164,9
6473222.86,frugal,2063975.067,10887256.37,1294644.572,8
23889544.22,wasteful,19149198.95,7432705.29,4777908.844,2
18457297.21,frugal,5640826.422,19208825.59,3691459.442,5
3196472.23,frugal,990043.9215,23158029.77,639294.446,36
5030744.92,wasteful,4400580.483,28952560.8,1006148.984,29
22880256.68,frugal,7863703.174,3765636.89,4576051.336,1
23789915.9,frugal,7189343,39313602.16,4757983.18,8
27659610.88,moderate,17394461.11,20256113.36,5531922.176,4
21053253.38,frugal,7319623.008,17057886.1,4210650.676,4
2665120.35,moderate,1668520.906,4079658.71,533024.07,8
22718141.66,wasteful,22414969.6,26251190.96,4543628.332,6
5214345.25,frugal,1568099.872,7565828.26,1042869.05,7
23423728.77,moderate,13796306.14,30249349.94,4684745.754,6
17484947.1,frugal,5584873.465,21262703.23,3496989.42,6
2020726.46,frugal,743333.1535,17575105.54,404145.292,43
13534442.69,frugal,4112875.816,35902587.27,2706888.538,13
21416941.38,wasteful,18931805.93,9971297.87,4283388.276,2
4121172.42,frugal,1275363.11,8964004.33,824234.484,11
7234962.62,moderate,4342374.34,32503280.75,1446992.524,22
5628380.8,moderate,3614578.025,4710895.5,1125676.16,4
19232012.81,moderate,10990831.43,36316177.6,3846402.562,9
3733753.02,frugal,1417504.816,26205536.37,746750.604,35
26327173.82,frugal,10391811.86,13051290.96,5265434.764,2
23557918.55,frugal,8619129.859,31437174.42,4711583.71,7
14344293.03,frugal,4481891.028,27363087.1,2868858.606,10
20339265.77,moderate,10452856.13,5079583.39,4067853.154,1
13140461.58,wasteful,10681633.02,31354956.75,2628092.316,12
5798676.79,moderate,3888590.967,26570058.82,1159735.358,23
4806826.42,moderate,2720067.627,6483564.52,961365.284,7
9770687.71,moderate,5987514.189,35784629.2,1954137.542,18
24388276.3,wasteful,23147655.64,8853698.75,4877655.26,2
22488836.7,moderate,12314535.94,17543747.68,4497767.34,4
4696378.46,wasteful,4335551.743,28028459.92,939275.692,30
18022694.29,moderate,12365561.72,5207395.56,3604538.858,1
6897891.5,moderate,4728496.766,19870405.63,1379578.3,14
21437962.35,moderate,14520969.29,35123532.98,4287592.47,8
12475363.62,wasteful,10960161.62,36120043.75,2495072.724,14
8143776.08,wasteful,6830139.962,31231814.42,1628755.216,19
13044596.06,wasteful,11754580.23,29228236.99,2608919.212,11
3018296.57,frugal,1085929.291,6983737.81,603659.314,12
6290115.08,frugal,2085138.361,18198843.85,1258023.016,14
1821859.92,wasteful,1589789.651,24519618.47,364371.984,67
27941801.63,frugal,8395989.424,20273396.22,5588360.326,4
11001769.4,frugal,3434320.553,28895241.28,2200353.88,13
9207806.1,frugal,2824946.405,11707866.54,1841561.22,6
26668420.42,moderate,16484801.36,4775543.65,5333684.084,1
9368567.47,wasteful,7538276.437,32017666.24,1873713.494,17
2951518.54,frugal,1124694.379,34063534.11,590303.708,58
5257294.39,moderate,2822314.416,4591737.48,1051458.878,4
20379889.4,wasteful,19323412.25,18333771.5,4075977.88,4
